HDBSCAN_Cluster,incidents,rates,latitude,longitude,total_population,total_private_dwellings,population_density,pct_0_14,pct_15_64,pct_65_plus,avg_age,median_age,avg_income,median_income,low_income_households,total_visible_minority,not_visible_minority,no_diploma,highschool,post_secondary
-1,1203.67,18787.76,44.59,-64.46,3747.67,2431.33,79.23,591.67,2541.67,1218.33,46.5,50.13,84400.0,29066.67,4310.0,108.33,4206.67,851.67,1040.0,1808.33
0,603.0,3009.88,44.94,-64.13,19016.0,9136.0,15.6,2835.0,11870.0,4810.0,45.9,48.8,95700.0,32800.0,19125.0,780.0,18350.0,3285.0,4595.0,8410.0
1,463.0,1893.66,44.92,-63.54,22453.0,10046.0,12.8,3715.0,14970.0,4210.0,42.5,44.4,110000.0,40000.0,22855.0,585.0,22275.0,3365.0,5660.0,10110.0
2,313.0,6481.67,45.62,-61.99,8278.0,4478.0,9.7,1430.0,5260.0,2270.0,44.9,47.2,117200.0,39600.0,8865.0,580.0,8295.0,1070.0,1660.0,4805.0
3,484.5,13336.08,45.95,-60.6,3422.0,1138.0,97.7,1080.0,2220.0,225.0,29.2,25.4,72000.0,20600.0,3520.0,10.0,3510.0,910.0,715.0,805.0
4,655.5,3075.73,44.83,-65.56,491.0,364.0,268.3,25.0,235.0,270.0,59.9,65.5,94000.0,26000.0,525.0,15.0,485.0,75.0,125.0,290.0
5,154.43,8033.72,45.42,-63.04,2287.29,1396.0,318.76,488.57,1749.29,710.71,44.66,47.03,89542.86,28771.43,2882.86,87.14,2798.57,507.14,686.43,1185.71
6,256.0,3436.7,43.56,-64.91,6646.0,3546.0,10.3,855.0,4035.0,1640.0,46.6,50.0,95300.0,34000.0,6455.0,95.0,6355.0,1985.0,1570.0,2045.0
7,122.57,4027.83,43.76,-65.32,4288.0,2735.0,2.4,510.0,2575.0,1255.0,49.2,54.4,88600.0,32800.0,4270.0,140.0,4145.0,1035.0,1060.0,1650.0
8,511.07,2482.78,45.37,-62.48,5866.0,3435.0,9.8,685.0,3295.0,1995.0,51.3,57.2,75400.0,27800.0,5920.0,155.0,5765.0,1050.0,1385.0,2755.0
9,383.5,3983.18,44.62,-65.76,7107.0,4099.0,4.4,905.0,4230.0,2110.0,48.5,53.6,77300.0,28200.0,7235.0,415.0,6815.0,1645.0,1815.0,2820.0
10,170.0,2162.3,44.19,-66.16,8018.0,4393.0,9.0,780.0,4520.0,2380.0,51.0,56.0,86900.0,32000.0,7515.0,205.0,7315.0,2090.0,1440.0,3200.0
