,city,latitude,longitude,province,unnamed: 4,unnamed: 5,year,violations,incidents,rates,matched_geo_name,total_population,total_private_dwellings,population_density,pct_0_14,pct_15_64,pct_65_plus,avg_age,median_age,median_income,avg_income,low_income_households,total_visible_minority,not_visible_minority,no_diploma,highschool,post_secondary
728,Nova Scotia [12],45.136499,-62.14238,,,,2013,"Total, all Criminal Code violations (excluding traffic) [50]",53216.0,5658.66,Wildcat 12,29.0,15.0,6.1,x,x,x,x,x,x,x,x,x,x,x,x,x
729,Nova Scotia [12],45.136499,-62.14238,,,,2013,Total violent Criminal Code violations [100],11622.0,1235.81,Wildcat 12,29.0,15.0,6.1,x,x,x,x,x,x,x,x,x,x,x,x,x
730,Nova Scotia [12],45.136499,-62.14238,,,,2013,Total property crime violations [200],32763.0,3483.82,Wildcat 12,29.0,15.0,6.1,x,x,x,x,x,x,x,x,x,x,x,x,x
731,Nova Scotia [12],45.136499,-62.14238,,,,2013,Total other Criminal Code violations [300],8831.0,939.03,Wildcat 12,29.0,15.0,6.1,x,x,x,x,x,x,x,x,x,x,x,x,x
732,Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",930.0,9622.35,Amherst,9413.0,4745.0,779.7,1415,5760,2245,45.3,47.7,46677,58460,9140,375,8765,1945,2310,3470
733,Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2013,Total violent Criminal Code violations [100],217.0,2245.21,Amherst,9413.0,4745.0,779.7,1415,5760,2245,45.3,47.7,46677,58460,9140,375,8765,1945,2310,3470
734,Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2013,Total property crime violations [200],486.0,5028.45,Amherst,9413.0,4745.0,779.7,1415,5760,2245,45.3,47.7,46677,58460,9140,375,8765,1945,2310,3470
735,Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2013,Total other Criminal Code violations [300],227.0,2348.68,Amherst,9413.0,4745.0,779.7,1415,5760,2245,45.3,47.7,46677,58460,9140,375,8765,1945,2310,3470
736,Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",64.0,,Annapolis Royal,491.0,346.0,240.8,35,225,225,57,63.4,42368,57793,485,15,470,45,120,285
737,Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2013,Total violent Criminal Code violations [100],14.0,,Annapolis Royal,491.0,346.0,240.8,35,225,225,57,63.4,42368,57793,485,15,470,45,120,285
738,Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2013,Total property crime violations [200],25.0,,Annapolis Royal,491.0,346.0,240.8,35,225,225,57,63.4,42368,57793,485,15,470,45,120,285
739,Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2013,Total other Criminal Code violations [300],25.0,,Annapolis Royal,491.0,346.0,240.8,35,225,225,57,63.4,42368,57793,485,15,470,45,120,285
740,Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Halifax,403131.0,187338.0,73.4,60510,279525,63095,40.8,41,69553,86778,397375,45285,352110,49390,85375,202225
741,Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2013,Total violent Criminal Code violations [100],,,Halifax,403131.0,187338.0,73.4,60510,279525,63095,40.8,41,69553,86778,397375,45285,352110,49390,85375,202225
742,Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2013,Total property crime violations [200],,,Halifax,403131.0,187338.0,73.4,60510,279525,63095,40.8,41,69553,86778,397375,45285,352110,49390,85375,202225
743,Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2013,Total other Criminal Code violations [300],,,Halifax,403131.0,187338.0,73.4,60510,279525,63095,40.8,41,69553,86778,397375,45285,352110,49390,85375,202225
744,Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Berwick,2509.0,1071.0,381.3,295,1365,845,50.6,54.2,51413,63290,2225,60,2170,390,400,1145
745,Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2013,Total violent Criminal Code violations [100],,,Berwick,2509.0,1071.0,381.3,295,1365,845,50.6,54.2,51413,63290,2225,60,2170,390,400,1145
746,Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2013,Total property crime violations [200],,,Berwick,2509.0,1071.0,381.3,295,1365,845,50.6,54.2,51413,63290,2225,60,2170,390,400,1145
747,Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2013,Total other Criminal Code violations [300],,,Berwick,2509.0,1071.0,381.3,295,1365,845,50.6,54.2,51413,63290,2225,60,2170,390,400,1145
748,Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",554.0,6586.61,Bridgewater,8532.0,4299.0,625.9,1120,5115,2300,46.8,49.2,46836,59207,8265,240,8030,1670,1810,3670
749,Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2013,Total violent Criminal Code violations [100],111.0,1319.7,Bridgewater,8532.0,4299.0,625.9,1120,5115,2300,46.8,49.2,46836,59207,8265,240,8030,1670,1810,3670
750,Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2013,Total property crime violations [200],356.0,4232.55,Bridgewater,8532.0,4299.0,625.9,1120,5115,2300,46.8,49.2,46836,59207,8265,240,8030,1670,1810,3670
751,Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2013,Total other Criminal Code violations [300],87.0,1034.36,Bridgewater,8532.0,4299.0,625.9,1120,5115,2300,46.8,49.2,46836,59207,8265,240,8030,1670,1810,3670
