CITY,Latitude,Longitude,PROVINCE,,,YEAR,VIOLATIONS,INCIDENTS,RATES
Nova Scotia [12],45.136499,-62.14238,,,,2010,"Total, all Criminal Code violations (excluding traffic) [50]",65792,6983.75
Nova Scotia [12],45.136499,-62.14238,,,,2010,Total violent Criminal Code violations [100],14766,1567.39
Nova Scotia [12],45.136499,-62.14238,,,,2010,Total property crime violations [200],40847,4335.86
Nova Scotia [12],45.136499,-62.14238,,,,2010,Total other Criminal Code violations [300],10179,1080.49
Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",1113,11290.32
Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2010,Total violent Criminal Code violations [100],316,3205.52
Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2010,Total property crime violations [200],555,5629.95
Amherst,45.8344,-64.2123,Nova Scotia,municipal [12001],,2010,Total other Criminal Code violations [300],242,2454.86
Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",50,
Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2010,Total violent Criminal Code violations [100],11,
Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2010,Total property crime violations [200],33,
Annapolis Royal,44.744,-65.5196,Nova Scotia,municipal [12002],,2010,Total other Criminal Code violations [300],6,
Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2010,"Total, all Criminal Code violations (excluding traffic) [50]",0,0
Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2010,Total violent Criminal Code violations [100],0,0
Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2010,Total property crime violations [200],0,0
Halifax County,44.8857,-63.1005,Nova Scotia,Royal Canadian Mounted Police,rural [12003],2010,Total other Criminal Code violations [300],0,0
Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2010,Total violent Criminal Code violations [100],,
Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2010,Total property crime violations [200],,
Berwick,45.0455,-64.7361,Nova Scotia,municipal [12004],,2010,Total other Criminal Code violations [300],,
Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2010,"Total, all Criminal Code violations (excluding traffic) [50]",761,9124.7
Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2010,Total violent Criminal Code violations [100],218,2613.91
Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2010,Total property crime violations [200],420,5035.97
Bridgewater,44.3796,-64.5213,Nova Scotia,municipal [12006],,2010,Total other Criminal Code violations [300],123,1474.82
Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2010,"Total, all Criminal Code violations (excluding traffic) [50]",849,25480.19
Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2010,Total violent Criminal Code violations [100],241,7232.89
Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2010,Total property crime violations [200],296,8883.55
Eskasoni,45.9485,-60.6012,Nova Scotia,Royal Canadian Mounted Police,rural [12007],2010,Total other Criminal Code violations [300],312,9363.75
